what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1332400376858
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1332400376974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332400513178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332400540176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332400543801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332400577795
error,log,,,"Unhandled event loop exception",1332400659717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332400683905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332400782039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332400796060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332400823460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332400824307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332401072943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332401113366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332401216570
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1332401254442
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332401267246
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1332401639963
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332401661315
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332401691025
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1332401693984
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332401694038
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332401698222
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332401698895
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1332401699951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332402116619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332402138901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332402420627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332402481036
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332402481744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332402493994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332402509457
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1332402510566
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332403468518
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332403469880
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332403471499
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332403472730
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1332403474562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332403531225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332403557706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332403581371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332403660258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332403666744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332403808698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332403809281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1332403970794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332404124993
executed,command,,,"AUTOGEN:::com.aptana.ide.debug.ui.BreakpointRulerActions/com.aptana.ide.debug.ui.actions.jsDoubleClickBreakpointAction",1332404128876
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332404131927
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332404132524
executed,command,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors.nextMultipageEditorTab",1332404133393
activated,editor,com.aptana.ide.editor.js,2.0.0.1278523018,"com.aptana.ide.editors.JSEditor",1332404144252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332404164287
activated,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1332404165527
